Trial Number,Accuracy,Accuracy Delta,Train Attack,Train Speed,Test Attack,Test Speed,Attack Delta,Speed Delta,Absolute Attack Delta,Absolute Speed Delta,Train Size,Test Size,Grid,Strategy,Variable,Experiment
1,0.81,0,0.5,1,0.5,1,0,0,0,0,5000,100,Small,Standard,Attack,1
2,0.74,-0.07,0.5,1,0.6,1,0.1,0,0.1,0,5000,100,Small,Standard,Attack,1
3,0.68,-0.13,0.5,1,0.7,1,0.2,0,0.2,0,5000,100,Small,Standard,Attack,1
4,0.65,-0.16,0.5,1,0.8,1,0.3,0,0.3,0,5000,100,Small,Standard,Attack,1
5,0.61,-0.2,0.5,1,0.9,1,0.4,0,0.4,0,5000,100,Small,Standard,Attack,1
6,0.63,-0.18,0.5,1,1,1,0.5,0,0.5,0,5000,100,Small,Standard,Attack,1
7,0.62,-0.19,0.5,1,0.4,1,-0.1,0,0.1,0,5000,100,Small,Standard,Attack,1
8,0.68,-0.13,0.5,1,0.3,1,-0.2,0,0.2,0,5000,100,Small,Standard,Attack,1
9,0.7,-0.11,0.5,1,0.2,1,-0.3,0,0.3,0,5000,100,Small,Standard,Attack,1
10,0.65,-0.16,0.5,1,0.1,1,-0.4,0,0.4,0,5000,100,Small,Standard,Attack,1
11,0.69,-0.12,0.5,1,0,1,-0.5,0,0.5,0,5000,100,Small,Standard,Attack,2
12,0.75,0,0.5,1,0.5,1,0,0,0,0,5000,100,Small,Standard,Attack,2
13,0.7,-0.05,0.5,1,0.6,1,0.1,0,0.1,0,5000,100,Small,Standard,Attack,2
14,0.66,-0.09,0.5,1,0.7,1,0.2,0,0.2,0,5000,100,Small,Standard,Attack,2
15,0.75,0,0.5,1,0.8,1,0.3,0,0.3,0,5000,100,Small,Standard,Attack,2
16,0.64,-0.11,0.5,1,0.9,1,0.4,0,0.4,0,5000,100,Small,Standard,Attack,2
17,0.68,-0.07,0.5,1,1,1,0.5,0,0.5,0,5000,100,Small,Standard,Attack,2
18,0.67,-0.08,0.5,1,0.4,1,-0.1,0,0.1,0,5000,100,Small,Standard,Attack,2
19,0.7,-0.05,0.5,1,0.3,1,-0.2,0,0.2,0,5000,100,Small,Standard,Attack,2
20,0.68,-0.07,0.5,1,0.2,1,-0.3,0,0.3,0,5000,100,Small,Standard,Attack,2
21,0.7,-0.05,0.5,1,0.1,1,-0.4,0,0.4,0,5000,100,Small,Standard,Attack,2
22,0.68,-0.07,0.5,1,0,1,-0.5,0,0.5,0,5000,100,Small,Standard,Attack,2
23,0.81,0,0.5,1,0.5,1,0,0,0,0,5000,100,Small,Standard,Speed,3
24,0.6,-0.21,0.5,1,0.5,5,0,4,0,4,5000,100,Small,Standard,Speed,3
25,0.69,-0.12,0.5,1,0.5,10,0,9,0,9,5000,100,Small,Standard,Speed,3
26,0.72,-0.09,0.5,1,0.5,20,0,19,0,19,5000,100,Small,Standard,Speed,3
27,0.72,-0.09,0.5,1,0.5,50,0,49,0,49,5000,100,Small,Standard,Speed,3
28,0.71,-0.1,0.5,1,0.5,100,0,99,0,99,5000,100,Small,Standard,Speed,3
29,0.66,-0.15,0.5,1,0.5,2,0,1,0,1,5000,100,Small,Standard,Speed,3
30,0.66,-0.15,0.5,1,0.5,3,0,2,0,2,5000,100,Small,Standard,Speed,3
31,0.75,-0.06,0.5,1,0.5,15,0,14,0,14,5000,100,Small,Standard,Speed,3
32,0.7,-0.11,0.5,1,0.5,75,0,74,0,74,5000,100,Small,Standard,Speed,3
33,0.62,-0.19,0.5,1,0.5,0.1,0,-0.9,0,0.9,5000,100,Small,Standard,Speed,3
34,0.75,-0.06,0.5,1,0.5,1,0,0,0,0,5000,100,Small,Standard,Speed,4
35,0.63,-0.18,0.5,1,0.5,5,0,4,0,4,5000,100,Small,Standard,Speed,4
36,0.75,-0.06,0.5,1,0.5,10,0,9,0,9,5000,100,Small,Standard,Speed,4
37,0.71,-0.1,0.5,1,0.5,20,0,19,0,19,5000,100,Small,Standard,Speed,4
38,0.63,-0.18,0.5,1,0.5,50,0,49,0,49,5000,100,Small,Standard,Speed,4
39,0.63,-0.18,0.5,1,0.5,100,0,99,0,99,5000,100,Small,Standard,Speed,4
40,0.71,-0.1,0.5,1,0.5,2,0,1,0,1,5000,100,Small,Standard,Speed,4
41,0.62,-0.19,0.5,1,0.5,3,0,2,0,2,5000,100,Small,Standard,Speed,4
42,0.71,-0.1,0.5,1,0.5,15,0,14,0,14,5000,100,Small,Standard,Speed,4
43,0.78,-0.03,0.5,1,0.5,75,0,74,0,74,5000,100,Small,Standard,Speed,4
44,0.65,-0.16,0.5,1,0.5,0.1,0,-0.9,0,0.9,5000,100,Small,Standard,Speed,4
45,0.94,0,0.5,1,0.5,1,0,0,0,0,5000,100,Medium,Standard,Attack,5
46,0.84,-0.1,0.5,1,0.6,1,0.1,0,0.1,0,5000,100,Medium,Standard,Attack,5
47,0.8,-0.14,0.5,1,0.7,1,0.2,0,0.2,0,5000,100,Medium,Standard,Attack,5
48,0.74,-0.2,0.5,1,0.8,1,0.3,0,0.3,0,5000,100,Medium,Standard,Attack,5
49,0.69,-0.25,0.5,1,0.9,1,0.4,0,0.4,0,5000,100,Medium,Standard,Attack,5
50,0.74,-0.2,0.5,1,1,1,0.5,0,0.5,0,5000,100,Medium,Standard,Attack,5
51,0.92,-0.02,0.5,1,0.4,1,-0.1,0,0.1,0,5000,100,Medium,Standard,Attack,5
52,0.86,-0.08,0.5,1,0.3,1,-0.2,0,0.2,0,5000,100,Medium,Standard,Attack,5
53,0.86,-0.08,0.5,1,0.2,1,-0.3,0,0.3,0,5000,100,Medium,Standard,Attack,5
54,0.87,-0.07,0.5,1,0.1,1,-0.4,0,0.4,0,5000,100,Medium,Standard,Attack,5
55,0.83,-0.11,0.5,1,0,1,-0.5,0,0.5,0,5000,100,Medium,Standard,Attack,5
56,0.84,-0.1,0.5,1,0.5,1,0,0,0,0,5000,100,Medium,Standard,Attack,6
57,0.78,-0.16,0.5,1,0.6,1,0.1,0,0.1,0,5000,100,Medium,Standard,Attack,6
58,0.86,-0.08,0.5,1,0.7,1,0.2,0,0.2,0,5000,100,Medium,Standard,Attack,6
59,0.8,-0.14,0.5,1,0.8,1,0.3,0,0.3,0,5000,100,Medium,Standard,Attack,6
60,0.84,-0.1,0.5,1,0.9,1,0.4,0,0.4,0,5000,100,Medium,Standard,Attack,6
61,0.68,-0.26,0.5,1,1,1,0.5,0,0.5,0,5000,100,Medium,Standard,Attack,6
62,0.78,-0.16,0.5,1,0.4,1,-0.1,0,0.1,0,5000,100,Medium,Standard,Attack,6
63,0.87,-0.07,0.5,1,0.3,1,-0.2,0,0.2,0,5000,100,Medium,Standard,Attack,6
64,0.92,-0.02,0.5,1,0.2,1,-0.3,0,0.3,0,5000,100,Medium,Standard,Attack,6
65,0.85,-0.09,0.5,1,0.1,1,-0.4,0,0.4,0,5000,100,Medium,Standard,Attack,6
66,0.9,-0.04,0.5,1,0,1,-0.5,0,0.5,0,5000,100,Medium,Standard,Speed,6
67,0.94,0,0.5,1,0.5,1,0,0,0,0,5000,100,Medium,Standard,Speed,7
68,0.85,-0.09,0.5,1,0.5,10,0,9,0,9,5000,100,Medium,Standard,Speed,7
69,0.77,-0.17,0.5,1,0.5,20,0,19,0,19,5000,100,Medium,Standard,Speed,7
70,0.75,-0.19,0.5,1,0.5,50,0,49,0,49,5000,100,Medium,Standard,Speed,7
71,0.78,-0.16,0.5,1,0.5,100,0,99,0,99,5000,100,Medium,Standard,Speed,7
72,0.76,-0.18,0.5,1,0.5,2,0,1,0,1,5000,100,Medium,Standard,Speed,7
73,0.82,-0.12,0.5,1,0.5,3,0,2,0,2,5000,100,Medium,Standard,Speed,7
74,0.79,-0.15,0.5,1,0.5,15,0,14,0,14,5000,100,Medium,Standard,Speed,7
75,0.79,-0.15,0.5,1,0.5,75,0,74,0,74,5000,100,Medium,Standard,Speed,7
76,0.79,-0.15,0.5,1,0.5,0.1,0,-0.9,0,0.9,5000,100,Medium,Standard,Speed,7
77,0.76,-0.18,0.5,1,0.5,5,0,4,0,4,5000,100,Medium,Standard,Speed,7
78,0.84,-0.1,0.5,1,0.5,1,0,0,0,0,5000,100,Medium,Standard,Speed,8
79,0.81,-0.13,0.5,1,0.5,10,0,9,0,9,5000,100,Medium,Standard,Speed,8
80,0.9,-0.04,0.5,1,0.5,20,0,19,0,19,5000,100,Medium,Standard,Speed,8
81,0.83,-0.11,0.5,1,0.5,50,0,49,0,49,5000,100,Medium,Standard,Speed,8
82,0.83,-0.11,0.5,1,0.5,100,0,99,0,99,5000,100,Medium,Standard,Speed,8
83,0.71,-0.23,0.5,1,0.5,2,0,1,0,1,5000,100,Medium,Standard,Speed,8
84,0.83,-0.11,0.5,1,0.5,3,0,2,0,2,5000,100,Medium,Standard,Speed,8
85,0.78,-0.16,0.5,1,0.5,15,0,14,0,14,5000,100,Medium,Standard,Speed,8
86,0.78,-0.16,0.5,1,0.5,75,0,74,0,74,5000,100,Medium,Standard,Speed,8
87,0.83,-0.11,0.5,1,0.5,0.1,0,-0.9,0,0.9,5000,100,Medium,Standard,Speed,8
88,0.82,-0.12,0.5,1,0.5,5,0,4,0,4,5000,100,Medium,Standard,Speed,8
89,0.73,0,RNG,1,0.5,1,nan,0,nan,0,5000,100,Small,RNG,Attack,9
90,0.72,-0.01,RNG,1,0.6,1,nan,0,nan,0,5000,100,Small,RNG,Attack,9
